time,N1,N2,P
133,0.0738388274904064,0.68565613440255,0.278875282258445
133.5,0.0738388810990531,0.685656073972578,0.278875307956271
134,0.0738389329369486,0.685656011327314,0.278875336003611
134.5,0.0738389829700591,0.68565594687738,0.278875366101437
135,0.0738390311736531,0.685655881004978,0.278875397968804
135.5,0.0738390775316006,0.685655814064939,0.278875431342309
136,0.0738391220357004,0.685655746385786,0.278875465975542
136.5,0.0738391646850367,0.685655678270796,0.278875501638524
137,0.0738392054853643,0.685655609999068,0.278875538117123
137.5,0.0738392444485222,0.685655541826577,0.278875575212475
138,0.0738392815918753,0.685655473987231,0.278875612740398
138.5,0.0738393169377843,0.685655406693907,0.278875650530794
139,0.0738393505131017,0.685655340139483,0.278875688427067
139.5,0.0738393823486959,0.685655274497846,0.278875726285526
140,0.0738394124790003,0.685655209924885,0.278875763974808
140.5,0.073839440941589,0.685655146559466,0.278875801375295
141,0.0738394677767761,0.685655084524382,0.278875838378543
141.5,0.0738394930272406,0.685655023927279,0.278875874886721
142,0.0738395167376737,0.685654964861557,0.278875910812059
142.5,0.0738395389544493,0.685654907407253,0.278875946076303
143,0.0738395597253163,0.685654851631881,0.278875980610188
143.5,0.0738395790991127,0.685654797591263,0.278876014352922
144,0.0738395971254987,0.685654745330316,0.278876047251685
144.5,0.0738396138547113,0.685654694883822,0.278876079261134
145,0.0738396293373364,0.685654646277161,0.278876110342937
145.5,0.0738396436240993,0.685654599527022,0.278876140465311
146,0.0738396567656727,0.685654554642077,0.27887616960258
146.5,0.0738396688125011,0.685654511623632,0.278876197734746
147,0.0738396798146407,0.685654470466248,0.278876224847084
147.5,0.0738396898216144,0.685654431158334,0.27887625092974
148,0.0738396988822812,0.685654393682705,0.278876275977358
148.5,0.0738397070447187,0.685654358017122,0.278876299988716
149,0.0738397143561184,0.6856543241348,0.278876322966377
149.5,0.0738397208626932,0.685654292004886,0.278876344916364
150,0.0738397266095964,0.685654261592916,0.27887636584784
150.5,0.0738397316408508,0.685654232861242,0.278876385772812
151,0.0738397359992879,0.68565420576944,0.278876404705845
151.5,0.0738397397264974,0.685654180274684,0.278876422663795
152,0.0738397428627842,0.685654156332104,0.278876439665554
152.5,0.0738397454471341,0.685654133895121,0.278876455731811
153,0.0738397475171874,0.685654112915755,0.278876470884824
153.5,0.0738397491092192,0.685654093344916,0.278876485148209
154,0.0738397502581262,0.685654075132672,0.278876498546742
154.5,0.0738397509974194,0.685654058228496,0.278876511106169
155,0.073839751359223,0.6856540425815,0.278876522853036
155.5,0.0738397513742774,0.685654028140643,0.278876533814526
156,0.0738397510719478,0.685654014854929,0.278876544018306
156.5,0.073839750480236,0.685654002673581,0.278876553492389
157,0.0738397496257969,0.685653991546203,0.278876562265006
157.5,0.0738397485339577,0.685653981422931,0.278876570364487
158,0.073839747228741,0.68565397225456,0.27887657781915
158.5,0.0738397457328895,0.685653963992666,0.278876584657203
159,0.0738397440678941,0.685653956589711,0.278876590906653
159.5,0.0738397422540238,0.685653949999136,0.278876596595222
160,0.0738397403103571,0.685653944175447,0.278876601750276
160.5,0.073839738254815,0.685653939074282,0.278876606398753
161,0.0738397361041961,0.685653934652472,0.278876610567109
161.5,0.0738397338742115,0.6856539308681,0.27887661428126
162,0.0738397315795216,0.685653927680537,0.278876617566539
162.5,0.073839729233773,0.68565392505048,0.278876620447654
163,0.0738397268496359,0.685653922939978,0.278876622948652
163.5,0.0738397244388421,0.685653921312454,0.278876625092894
164,0.0738397220122227,0.685653920132716,0.278876626903024
164.5,0.0738397195797464,0.685653919366969,0.278876628400956
165,0.0738397171505566,0.68565391898281,0.27887662960785
165.5,0.0738397147330096,0.68565391894923,0.27887663054411
166,0.0738397123347111,0.685653919236606,0.278876631229367
166.5,0.0738397099625533,0.685653919816685,0.278876631682482
167,0.0738397076227506,0.685653920662573,0.278876631921539
167.5,0.0738397053208752,0.68565392174871,0.27887663196385
168,0.0738397030618917,0.685653923050854,0.278876631825955
168.5,0.0738397008501912,0.685653924546049,0.278876631523634
169,0.0738396986896239,0.685653926212601,0.278876631071911
169.5,0.0738396965835318,0.685653928030049,0.278876630485069
170,0.0738396945347795,0.68565392997913,0.278876629776656
170.5,0.0738396925457851,0.685653932041747,0.278876628959505
171,0.0738396906185487,0.685653934200936,0.278876628045746
171.5,0.0738396887546814,0.685653936440828,0.278876627046824
172,0.0738396869554325,0.685653938746616,0.278876625973514
172.5,0.0738396852217153,0.68565394110451,0.278876624835944
173,0.0738396835541328,0.68565394350171,0.278876623643608
173.5,0.0738396819530019,0.685653945926359,0.278876622405392
174,0.0738396804183761,0.685653948367509,0.27887662112959
174.5,0.0738396789500683,0.685653950815084,0.278876619823925
175,0.0738396775476712,0.685653953259837,0.278876618495572
175.5,0.0738396762105781,0.685653955693318,0.278876617151178
176,0.0738396749380013,0.685653958107833,0.278876615796883
176.5,0.0738396737289909,0.685653960496408,0.278876614438341
177,0.0738396725824513,0.685653962852753,0.278876613080741
177.5,0.0738396714971582,0.685653965171227,0.278876611728829
178,0.0738396704717731,0.685653967446801,0.278876610386929
178.5,0.0738396695048583,0.685653969675026,0.278876609058961
179,0.0738396685948902,0.685653971851999,0.278876607748463
179.5,0.073839667740272,0.685653973974329,0.278876606458612
180,0.0738396669393456,0.685653976039108,0.278876605192241
180.5,0.0738396661904027,0.685653978043879,0.278876603951859
181,0.0738396654916954,0.685653979986608,0.278876602739671
181.5,0.0738396648414452,0.685653981865651,0.278876601557593
182,0.0738396642378524,0.685653983679734,0.278876600407273
182.5,0.0738396636791041,0.685653985427918,0.278876599290106
183,0.0738396631633818,0.68565398710958,0.278876598207249
183.5,0.0738396626888684,0.685653988724387,0.278876597159642
184,0.0738396622537544,0.68565399027227,0.278876596148017
184.5,0.0738396618562438,0.685653991753405,0.278876595172918
185,0.0738396614945593,0.685653993168191,0.278876594234712
185.5,0.073839661166947,0.685653994517226,0.278876593333604
186,0.0738396608716808,0.685653995801294,0.278876592469649
